id,estado_final,pasos_totales,historial
PED-225,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-226,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-227,Devuelto,7,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> En Reparto -> Entrega Fallida -> Devuelto
PED-228,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-229,Devuelto,1,Pedido Recibido -> Devuelto
PED-230,Entregado,5,Pedido Recibido -> En Preparación -> En Bodega -> En Bodega -> En Reparto -> Entregado
PED-231,Devuelto,5,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> Devuelto
PED-232,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-233,Entregado,5,Pedido Recibido -> En Preparación -> En Bodega -> En Bodega -> En Reparto -> Entregado
PED-234,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-235,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-236,Entregado,6,Pedido Recibido -> En Preparación -> En Preparación -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-237,Entregado,6,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> En Reparto -> Entregado
PED-238,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-239,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-240,Entregado,7,Pedido Recibido -> En Preparación -> En Bodega -> En Bodega -> En Reparto -> Entrega Fallida -> En Reparto -> Entregado
PED-241,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-242,Entregado,7,Pedido Recibido -> En Preparación -> En Bodega -> En Bodega -> En Reparto -> Entrega Fallida -> En Reparto -> Entregado
PED-243,Entregado,5,Pedido Recibido -> En Preparación -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-244,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-245,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-246,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-247,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-248,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-249,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-250,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-251,Devuelto,1,Pedido Recibido -> Devuelto
PED-252,Devuelto,5,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> Devuelto
PED-253,Entregado,7,Pedido Recibido -> En Preparación -> En Bodega -> En Bodega -> En Reparto -> Entrega Fallida -> En Reparto -> Entregado
PED-254,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-255,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-256,Devuelto,1,Pedido Recibido -> Devuelto
PED-257,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-258,Devuelto,1,Pedido Recibido -> Devuelto
PED-259,Entregado,5,Pedido Recibido -> En Preparación -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-260,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-261,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-262,Entregado,5,Pedido Recibido -> En Preparación -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-263,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-264,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-265,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-266,Entregado,6,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> En Reparto -> Entregado
PED-267,Entregado,5,Pedido Recibido -> En Preparación -> En Bodega -> En Bodega -> En Reparto -> Entregado
PED-268,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-269,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-270,Devuelto,5,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> Devuelto
PED-271,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-272,Entregado,6,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> En Reparto -> Entregado
PED-273,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-274,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-275,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
PED-276,Entregado,6,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entrega Fallida -> En Reparto -> Entregado
PED-277,Entregado,4,Pedido Recibido -> En Preparación -> En Bodega -> En Reparto -> Entregado
